#{"t_start": 1766914283.692569, "env_id": "None"}
r,l,t
-20.0,1,0.458813
-20.0,1,0.458911
-20.0,1,0.458952
-20.0,1,0.458983
-20.0,1,0.459074
-20.0,1,0.459105
-20.0,1,0.459129
-20.0,1,0.459151
-20.0,1,0.459205
-20.0,1,0.459232
-20.0,1,0.459255
-20.0,1,0.459277
-20.0,1,0.459327
-20.0,1,0.459352
-20.0,1,0.459377
-20.0,1,0.459401
-20.0,1,0.459455
5.909951,3,0.45953
-20.0,1,0.459779
-20.0,1,0.459806
-20.0,1,0.459846
7.01488,3,0.459929
-20.0,1,0.459956
-20.0,1,0.459981
-20.0,1,0.460031
-20.0,1,0.460055
-20.0,1,0.460077
-20.0,1,0.460099
-20.0,1,0.460149
-20.0,1,0.460175
-20.0,1,0.460199
-20.0,1,0.460222
-20.0,1,0.460278
7.323608,3,0.460345
-20.0,1,0.460388
-20.0,1,0.460413
-20.0,1,0.460454
-20.0,1,0.460479
-20.0,1,0.460519
-20.0,1,0.460544
-20.0,1,0.460583
-20.0,1,0.460609
7.022004,3,0.460694
-20.0,1,0.460721
-20.0,1,0.460781
-20.0,1,0.460807
-20.0,1,0.46083
-19.9,2,0.460886
-20.0,1,0.460927
-20.0,1,0.460952
-20.0,1,0.460976
-20.0,1,0.461014
-20.0,1,0.461055
-20.0,1,0.461082
5.986157,3,0.461161
5.996861,3,0.461243
-20.0,1,0.461287
-20.0,1,0.461312
-20.0,1,0.461336
-19.8,3,0.46141
-19.8,3,0.461503
-20.0,1,0.461529
-20.0,1,0.461552
-20.0,1,0.461591
-20.0,1,0.461632
6.962272,3,0.461713
-20.0,1,0.461741
-20.0,1,0.461765
-20.0,1,0.461808
-20.0,1,0.46185
-20.0,1,0.461875
-20.0,1,0.461899
-20.0,1,0.461942
-20.0,1,0.461984
-20.0,1,0.462009
-20.0,1,0.462033
-20.0,1,0.462073
-20.0,1,0.462116
-20.0,1,0.462143
-20.0,1,0.462168
6.901621,3,0.462333
-20.0,1,0.462365
6.837977,3,0.517666
-20.0,1,0.517737
-20.0,1,0.51781
-20.0,1,0.518595
-20.0,1,0.518636
-20.0,1,0.518672
-20.0,1,0.518748
-20.0,1,0.519298
-20.0,1,0.519336
